Códice	token	lema	pos
BER	saber	saber	VMN0000
BER	seer	ser	VSN0000
BER	leer	leer	VMN0000
BER	auer	haber	NCMS000
BER	peccado	pecado	NCMS000
BER	dictado	dictado	NCMS000
BER	pagado	pagar	VMPS0SM
BER	pessado	pesar	VMPS0SM
BER	oriente	oriente	NCMS000
BER	lorente	Lorenzo	NP000P0
BER	presente	presente	AQ0CS0
BER	fallimente	UNK	NCFS000
BER	engendraron	engendrar	VMIS3P0
BER	leuaron	llevar	VMIS3P0
BER	demandaron	demandar	VMIS3P0
BER	untaron	untar	VMIS3P0
BER	mandar	mandar	VMN0000
BER	guardar	guardar	VMN0000
BER	enbiar	enviar	VMN0000
BER	usar	usar	VMN0000
BER	sabidor	sabedor	AQ0MS0
BER	pastor	pastor	NCMS000
BER	robador	robador	AQ0MS0
BER	sauor	sabor	NCMS000
BER	digo	decir	VMIP1S0
BER	consigo	consigo	PP3CNO00
BER	enemjgo	enemigo	NCMS000
BER	cabrito	cabrito	NCMS000
BER	çelestial	celestial	AQ0CS0
BER	mal	mal	NCMS000
BER	corral	corral	NCMS000
BER	natural	natural	AQ0CS0
BER	ujsa	ver	VMPS0SF
BER	guysa	guisa	NCFS000
BER	diujsa	divisa	NCFS000
BER	guysa	guisa	NCFS000
BER	fincando	fincar	VMG0000
BER	guyando	guiar	VMG0000
BER	apesgando	apesgar	VMG0000
BER	adormjdando	UNK	VMG0000
BER	tenprado	templar	VMPS0SM
BER	aspirado	aspirar	VMPS0SM
BER	maestrado	maestradgo	NCMS000
BER	ganado	ganado	NCMS000
BER	enganno	engaño	NCMS000
BER	hermitanno	ermitaño	NCMS000
BER	panno	paño	NCMS000
BER	anno	año	NCMS000
BER	obraua	obrar	VMII3S0
BER	menguaua	menguar	VMII3S0
BER	moraua	morar	VMII3S0
BER	cuydaua	cuidar	VMII1S0
BER	tardar	tardar	VMN0000
BER	camjnar	caminar	VMN0000
BER	logar	lugar	NCMS000
BER	arribar	arribar	VMN0000
BER	castillero	castillero	AQ0MS0
BER	cauallero	caballero	NCMS000
BER	otero	otero	NCMS000
BER	claustrero	UNK	AQ0MS0
BER	sennero	señero	AQ0MS0
BER	cauellero	caballero	NCMS000
BER	obrero	obrero	NCMS000
BER	dinero	dinero	NCMS000
BER	psalmodia	UNK	VMII3S0
BER	ledania	letanía	NCFS000
BER	dia	día	NCMS000
BER	alegria	alegría	NCFS000
BER	desembargado	desembargar	VMPS0SM
BER	enoiado	enojar	VMPS0SM
BER	acabado	acabar	VMPS0SM
BER	poblado	poblar	VMPS0SM
BER	olbidados	olvidar	VMPS0PM
BER	finados	finar	VMPS0PM
BER	cuydados	cuidado	NCMP000
BER	lazrados	lacerar	VMPS0PM
BER	lazraua	lacerar	VMII3S0
BER	semeiaua	semejar	VMII3S0
BER	estudiaua	estudiar	VMII3S0
BER	menoscauaua	menoscabar	VMII3S0
BER	senbraua	sembrar	VMII3S0
BER	esperaua	esperar	VMII3S0
BER	daua	dar	VMII1S0
BER	guyaua	guiar	VMII3S0
BER	multiplicadas	multiplicar	VMPS0PF
BER	erradas	errar	VMPS0PF
BER	cuytadas	acuitar	VMPS0PF
BER	engannadas	engañar	VMPS0PF
BER	uondat	bondad	NCFS000
BER	edat	edad	NCFS000
BER	sanctidat	santidad	NCFS000
BER	meatat	mitad	NCFS000
BER	referir	referir	VMN0000
BER	asalir	a·salir	SPS00·VMN0000
BER	soffrir	sufrir	VMN0000
BER	encobrir	encubrir	VMN0000
BER	rioianos	riojano	NCMP000
BER	planos	plano	AQ0MP0
BER	sanos	sano	AQ0MP0
BER	manos	mano	NCFP000
BER	pauoroso	pavoroso	AQ0MS0
BER	peligroso	peligroso	AQ0MS0
BER	delectoso	deleitoso	AQ0MS0
BER	porfidioso	porfioso	AQ0MS0
BER	mesturado	mesturar	VMPS0SM
BER	grado	grado	NCMS000
BER	gasaiado	gasajado	NCMS000
BER	afirmado	afirmar	VMPS0SM
BER	enbargado	embargar	VMPS0SM
BER	enoyado	enojar	VMPS0SM
BER	ordenado	ordenado	AQ0MS0
BER	cuydado	cuidado	NCMP000
BER	serpientes	serpiente	NCFP000
BER	dientes	diente	NCMP000
BER	gentes	gente	NCFP000
BER	parientes	pariente	NCCP000
BER	quitar	quitar	VMN0000
BER	habitar	habitar	VMN0000
BER	arrancar	arrancar	VMN0000
BER	quebrantar	quebrantar	VMN0000
BER	mouer	mover	VMN0000
BER	entender	entender	VMN0000
BER	asconder	esconder	VMN0000
BER	mantener	mantener	VMN0000
BER	creençia	creencia	NCFS000
BER	atenençia	UNK	NCFS000
BER	abstinençia	abstinencia	NCFS000
BER	malquerençia	malquerencia	NCFS000
BER	logares	lugar	NCMP000
BER	espinales	espinal	NCMP000
BER	altares	altar	NCMP000
BER	pulgares	pulgar	NCMP000
BER	mortales	mortal	AQ0CP0
BER	tales	tal	DD0CP0
BER	temporales	temporal	NCMP000
BER	matarrales	UNK	NCMP000
BER	acordado	acordar	VMPS0SM
BER	ganado	ganado	NCMS000
BER	osado	osar	VMPS0SM
BER	pecado	pecado	NCMS000
BER	maledicta	UNK	AQ0FS0
BER	heremjta	eremita	NCCS000
BER	bendicta	bendito	AQ0FS0
