Códice	token	lema	pos
BER	criar	criar	VMN0000
BER	saluar	salvar	VMN0000
BER	confortar	confortar	VMN0000
BER	uersificar	versificar	VMN0000
BER	cansado	cansar	VMPS0SM
BER	dictado	dictado	NCMS000
BER	pagado	pagar	VMPS0SM
BER	peccado	pecado	NCMS000
BER	primeria	primería	NCFS000
BER	guja	guja	NCFS000
BER	maria	María	NP000P0
BER	dia	día	NCMS000
BER	solemos	soler	VMIP1P0
BER	leemos	leer	VMIP1P0
BER	tenemos	tener	VMIP1P0
BER	auemos	haber	VMIP1P0
BER	letrado	letrado	AQ0MS0
BER	dictado	dictado	NCMS000
BER	razonado	razonar	VMPS0SM
BER	condado	condado	NCMS000
BER	podedes	podar	VMIP2P0
BER	paredes	pared	NCFP000
BER	podedes	podar	VMIP2P0
BER	prouaredes	UNK	VMIF2P0
BER	parientes	pariente	NCCP000
BER	merescientes	mereciente	AQ0CP0
BER	conuenjentes	conveniente	AQ0CP0
BER	gentes	gente	NCFP000
BER	lection	lección	NCFS000
BER	oraçion	oración	NCFS000
BER	bendiçion	bendición	NCFS000
BER	ujsion	visión	NCFS000
BER	entrada	entrada	NCFS000
BER	baptizada	bautizar	VMPS0SF
BER	preçiada	preciado	AQ0FS0
BER	llamada	llamar	VMPS0SF
BER	detardado	detardar	VMPS0SM
BER	agujsado	aguisar	VMPS0SM
BER	priuado	privado	AQ0MS0
BER	pesado	pesar	VMPS0SM
BER	natural	natural	AQ0CS0
BER	tal	tal	DD0CS0
BER	mal	mal	NCMS000
BER	çelestial	celestial	AQ0CS0
BER	derecha	derecho	AQ0FS0
BER	pecha	pecha	NCFS000
BER	retrecha	retrecho	AQ0FS0
BER	asecha	asechar	VMIP3S0
BER	ujçio	vicio	NCMS000
BER	serujçio	servicio	NCMS000
BER	deliçio	UNK	VMIS3S0
BER	offiçio	oficio	NCMS000
BER	coraçon	corazón	NCMS000
BER	criazon	criazón	NCFS000
BER	non	no	RN
BER	deuoçion	devoción	NCFS000
BER	leyenda	leyenda	NCFS000
BER	fazienda	hacienda	NCFS000
BER	contienda	contienda	NCFS000
BER	rienda	rienda	NCFS000
BER	parientes	pariente	NCCP000
BER	mjentes	miente	NCFP000
BER	dientes	diente	NCMP000
BER	desconuenjentes	UNK	NCFP000
BER	ujda	vida	NCFS000
BER	uestida	vestir	VMPS0SF
BER	medida	medida	NCFS000
BER	uençida	vencer	VMPS0SF
BER	meior	mejor	AQ0CS0
BER	sennor	señor	NCMS000
BER	honor	honor	NCMS000
BER	loor	loor	NCMS000
BER	tornemos	tornar	VMSP1P0
BER	comemos	comer	VMIP1P0
BER	tenemos	tener	VMIP1P0
BER	auemos	haber	VMIP1P0
BER	annos	año	NCMP000
BER	pannos	paño	NCMP000
BER	calannos	calaño	AQ0MP0
BER	peannos	peño	NCMP000
BER	negrada	negrar	VMPS0SF
BER	emparedada	emparedado	NCFS000
BER	lazrada	lacerar	VMPS0SF
BER	soldada	soldada	NCFS000
BER	caridat	caridad	NCFS000
BER	humjldat	humildad	NCFS000
BER	uanjdat	vanidad	NCFS000
BER	uezindat	vecindad	NCFS000
BER	enparedaçion	UNK	NCFS000
BER	coraçon	corazón	NCMS000
BER	oraçion	oración	NCFS000
BER	deuoçion	devoción	NCFS000
BER	oraçiones	oración	NCFP000
BER	ujsiones	visión	NCFP000
BER	coraçones	corazón	NCMP000
BER	sermones	sermón	NCMP000
BER	naujdat	navidad	NCFS000
BER	festiujdat	festividad	NCFS000
BER	Jnfinjdat	infinidad	NCFS000
BER	sanctidat	santidad	NCFS000
BER	lection	lección	NCFS000
BER	deuoçion	devoción	NCFS000
BER	consolaçion	consolación	NCFS000
BER	vision	visión	NCFS000
BER	auctoridat	autoridad	NCFS000
BER	edat	edad	NCFS000
BER	ciudat	ciudad	NCFS000
BER	beltat	beldad	NCFS000
BER	preçiosa	precioso	AQ0FS0
BER	esposa	esposo	NCFS000
BER	gloriosa	glorioso	AQ0FS0
BER	rosa	rosa	NCFS000
BER	oydas	oír	VMPS0PF
BER	bestidas	vestir	VMPS0PF
BER	nasçidas	nacer	VMPS0PF
BER	bellidas	bellido	AQ0FP0
BER	coronadas	coronar	VMPS0PF
BER	alçadas	alzar	VMPS0PF
BER	coçeadas	cocear	VMPS0PF
BER	criadas	criar	VMPS0PF
BER	çerrada	cerrar	VMPS0SF
BER	enbargada	embargar	VMPS0SF
BER	conortada	confortar	VMPS0SF
BER	aforçada	esforzar	VMPS0SF
BER	manera	manera	NCFS000
BER	terçera	tercero	NCFS000
BER	carrera	carrera	NCFS000
BER	conpannera	compañero	NCFS000
BER	hermana	hermano	NCFS000
BER	mana	manar	VMIP3S0
BER	gana	gana	NCFS000
BER	lana	lana	NCFS000
BER	passiones	pasión	NCFP000
BER	razones	razón	NCFP000
BER	ujsiones	visión	NCFP000
BER	gualardones	galardón	NCMP000
BER	oria	Oria	NP000P0
BER	gloria	gloria	NCFS000
BER	memoria	memoria	NCFS000
BER	estoria	historia	NCFS000
BER	digas	decir	VMSP2S0
BER	amjgas	amigo	NCFP000
BER	agujsas	UNK	NCFP000
BER	predigas	predecir	VMSP2S0
BER	querida	querer	VMPS0SF
BER	olujda	olvidar	VMIP3S0
BER	deçebida	decebir	VMPS0SF
BER	conbida	convidar	VMIP3S0
BER	daua	dar	VMII1S0
BER	estaua	estar	VAII1S0
BER	pujaua	pujar	VMII3S0
BER	cataua	catar	VMII3S0
BER	gradas	grada	NCFP000
BER	obradas	obrar	VMPS0PF
BER	uegadas	vegada	NCFP000
BER	auenturadas	aventurado	AQ0FP0
BER	uolar	volar	VMN0000
BER	pujar	pujar	VMN0000
BER	posar	posar	VMN0000
BER	sacar	sacar	VMN0000
BER	sobir	subir	VMN0000
BER	asegujr	UNK	VMN0000
BER	conplir	cumplir	VMN0000
BER	dezir	decir	VMN0000
BER	carrera	carrera	NCFS000
BER	escalera	escalera	NCFS000
BER	era	ser	VSII1S0
BER	uezera	vecero	NCFS000
BER	ribadas	arribar	VMPS0PF
BER	aplanadas	aplanar	VMPS0PF
BER	conpassadas	compasar	VMPS0PF
BER	pobladas	poblar	VMPS0PF
BER	cargado	cargar	VMPS0SM
BER	temprada	templar	VMPS0SF
BER	prado	prado	NCMS000
BER	regnado	reinado	NCMS000
BER	biento	viento	NCMS000
BER	pagamjento	apagamiento	NCMS000
BER	taliento	talento	NCMS000
BER	conplimjento	cumplimiento	NCMS000
BER	contadas	contar	VMPS0PF
BER	pagadas	pagar	VMPS0PF
BER	foradadas	horadar	VMPS0PF
BER	contadas	contar	VMPS0PF
BER	auerturas	abertura	NCFP000
BER	uestiduras	vestidura	NCFP000
BER	pinturas	pintura	NCFP000
BER	figuras	figura	NCFP000
BER	barones	barón	NCMP000
BER	bordones	bordón	NCMP000
BER	regiones	región	NCFP000
BER	proçessiones	procesión	NCFP000
BER	amada	amar	VMPS0SF
BER	castigada	castigar	VMPS0SF
BER	acordada	acordar	VMPS0SF
BER	posada	posada	NCFS000
BER	njnguna	ninguno	DI0FS0
BER	luna	luna	NCFS000
BER	alguna	alguno	DI0FS0
BER	amunna	Amuña	NP000P0
BER	estaua	estar	VAII1S0
BER	moraua	morar	VMII3S0
BER	aguardaua	aguardar	VMII3S0
BER	preçiaua	preciar	VMII3S0
BER	conpanna	compaña	NCFS000
BER	fazanna	hazaña	NCFS000
BER	estranna	extraño	AQ0FS0
BER	calanna	calaña	NCFS000
BER	uelayo	UNK	VMIS3S0
BER	pelayo	Pelayo	NP000P0
BER	trayo	traer	VMIS3S0
BER	mayo	mayo	NCMS000
BER	querida	querer	VMPS0SF
BER	ujda	vida	NCFS000
BER	apremjda	apremir	VMPS0SF
BER	conplida	cumplir	VMPS0SF
BER	barones	barón	NCMP000
BER	sazones	sazón	NCFP000
BER	passiones	pasión	NCFP000
BER	raçiones	ración	NCFP000
BER	leal	leal	AQ0CS0
BER	natural	natural	AQ0CS0
BER	tal	tal	DD0CS0
BER	mal	mal	AQ0CS0
BER	sabor	sabor	NCMS000
BER	seror	sor	NCFS000
BER	morador	morador	NCMS000
BER	criador	criador	NCMS000
BER	llamedes	llamar	VMSP2P0
BER	faredes	hacer	VMIF2P0
BER	paredes	pared	NCFP000
BER	perdredes	UNK	VMIF2P0
BER	conpanneras	compañero	NCFP000
BER	primeras	primero	AO0FP0
BER	senneras	señera	NCFP000
BER	maneras	manera	NCFP000
BER	enbargaua	embargar	VMII3S0
BER	estaua	estar	VAII1S0
BER	guyaua	guiar	VMII3S0
BER	olbidaua	olvidar	VMII3S0
BER	passada	pasar	VMPS0SF
BER	labrada	labrar	VMPS0SF
BER	engastonada	engastar	VMPS0SF
BER	seellada	sellar	VMPS0SF
BER	acithara	cítara	NCFS000
BER	clara	claro	AQ0FS0
BER	enpara	amparar	VMIP3S0
BER	lara	Lara	NP000G0
BER	mançebiella	mancebo	AQ0FS0
BER	siella	silla	NCFS000
BER	castiella	Castilla	NP000G0
BER	fabliella	hablilla	NCFS000
BER	aqujlon	aquilón	NCMS000
BER	criazon	criazón	NCFS000
BER	uermeion	bermellón	NCMS000
BER	son	ser	VSIP3P0
BER	guyonas	guion	NCFP000
BER	personas	persona	NCFP000
BER	azconas	azcona	NCFP000
BER	coronas	corona	NCFP000
BER	apedreado	apedrear	VMPS0SM
BER	assado	asar	VMPS0SM
BER	criado	criar	VMPS0SM
BER	ordenado	ordenado	AQ0MS0
BER	apartamjento	apartamiento	NCMS000
BER	conbiento	UNK	NCMS000
BER	ujento	viento	NCMS000
BER	guarimjento	guarimiento	NCMS000
BER	ordenado	ordenado	AQ0MS0
BER	dictado	dictado	NCMS000
BER	llamado	llamar	VMPS0SM
BER	consagrado	consagrar	VMPS0SM
BER	conpannja	compañía	NCFS000
BER	hermjtanja	UNK	NCFS000
BER	garçia	García	NP000P0
BER	follia	folía	NCFS000
BER	logar	lugar	NCMS000
BER	Juzgar	juzgar	VMN0000
BER	estar	estar	VAN0000
BER	contar	contar	VMN0000
BER	generales	general	AQ0CP0
BER	princjpales	principal	AQ0CP0
BER	cardenales	cardenal	NCMP000
BER	mortales	mortal	AQ0CP0
BER	entendimjento	entendimiento	NCMS000
BER	conujento	UNK	NCMS000
BER	taliento	talento	NCMS000
BER	mereçimjento	merecimiento	NCMS000
BER	tornemos	tornar	VMSP1P0
BER	peccaremos	pecar	VMIF1P0
BER	deuemos	deber	VMIP1P0
BER	leemos	leer	VMIP1P0
BER	daua	dar	VMII1S0
BER	guardaua	guardar	VMII3S0
BER	relampagaua	UNK	VMII3S0
BER	estaua	estar	VAII1S0
BER	uestidura	vestidura	NCFS000
BER	pura	puro	AQ0FS0
BER	escriptura	escritura	NCFS000
BER	cobertura	cobertura	NCFS000
BER	ujda	vida	NCFS000
BER	conplida	cumplir	VMPS0SF
BER	partida	partida	NCFS000
BER	medida	medida	NCFS000
BER	sanctidat	santidad	NCFS000
BER	claridat	claridad	NCFS000
BER	claridat	claridad	NCFS000
BER	obscuridat	oscuridad	NCFS000
BER	toller	toller	VMN0000
BER	sauer	saber	VMN0000
BER	seer	ser	VSN0000
BER	auer	haber	VMN0000
BER	mandado	mandado	NCMS000
BER	demandado	demandar	VMPS0SM
BER	otorgado	otorgar	VMPS0SM
BER	pagado	pagar	VMPS0SM
BER	comendado	encomendar	VMPS0SM
BER	laudado	laudar	VMPS0SM
BER	peccado	pecado	NCMS000
BER	bocado	bocado	NCMS000
BER	oria	Oria	NP000P0
BER	gloria	gloria	NCFS000
BER	nouja	novio	NCFS000
BER	escoria	escoria	NCFS000
BER	razonada	razonar	VMPS0SF
BER	uegada	vegada	NCFS000
BER	enparedada	emparedado	NCFS000
BER	acabada	acabar	VMPS0SF
BER	ujnjeron	venir	VMIS3P0
BER	partieron	partir	VMIS3P0
BER	andidieron	andar	VMIS3P0
BER	traxieron	traer	VMIS3P0
BER	uoluntat	voluntad	NCFS000
BER	maiestat	majestad	NCFS000
BER	piadat	piedad	NCFS000
BER	heredat	heredad	NCFS000
BER	sopieron	saber	VMIS3P0
BER	podieron	poder	VMIS3P0
BER	oyeron	oír	VMIS3P0
BER	ujeron	ver	VMIS3P0
BER	logar	lugar	NCMS000
BER	habitar	habitar	VMN0000
BER	lazrar	lacerar	VMN0000
BER	cobrar	cobrar	VMN0000
BER	ueo	ver	VMIP1S0
BER	deseo	deseo	NCMS000
BER	seo	ser	VSIP1S0
BER	creo	crear	VMIP1S0
BER	mezquina	mezquino	AQ0FS0
BER	calabrina	calabrina	NCFS000
BER	madrina	madrina	NCFS000
BER	ayna	aína	RG
BER	criador	criador	NCMS000
BER	temor	temor	NCMS000
BER	amor	amor	NCMS000
BER	escantador	encantador	NCMS000
BER	desmedrida	desmedir	VMPS0SF
BER	subida	subida	NCFS000
BER	querida	querer	VMPS0SF
BER	uenjda	venida	NCFS000
BER	enbargada	embargar	VMPS0SF
BER	nada	nada	PI0CS000
BER	sanctiguada	santiguar	VMPS0SF
BER	matinada	matinada	NCFS000
BER	gujaron	guiar	VMIS3P0
BER	leuaron	llevar	VMIS3P0
BER	tornaron	tornar	VMIS3P0
BER	dexaron	dejar	VMIS3P0
BER	enderredor	alrededor	RG
BER	sabor	sabor	NCMS000
BER	dulçor	dulzor	NCMS000
BER	dolor	dolor	NCMS000
BER	dia	día	NCMS000
BER	confradria	cofradía	NCFS000
BER	uazia	vacío	AQ0FS0
BER	maestria	maestría	NCFS000
BER	oria	Oria	NP000P0
BER	gloria	gloria	NCFS000
BER	ujctoria	victoria	NCFS000
BER	mjsericordia	misericordia	NCFS000
BER	lazerio	laceria	NCMS000
BER	mjnjsterio	ministerio	NCMS000
BER	salterio	salterio	NCMS000
BER	euangelio	evangelio	NCMS000
BER	sennores	señor	NCMP000
BER	peccadores	pecador	AQ0MP0
BER	baticores	UNK	NCMP000
BER	meiores	mejor	AQ0CP0
BER	passados	pasar	VMPS0PM
BER	contados	contar	VMPS0PM
BER	honrrados	honrado	AQ0MP0
BER	olbidados	olvidar	VMPS0PM
BER	ujsion	visión	NCFS000
BER	son	ser	VSIP3P0
BER	sazon	sazón	NCFS000
BER	coraçon	corazón	NCMS000
BER	saturnjno	saturnino	AQ0MS0
BER	uezino	vecino	NCMS000
BER	ujno	venir	VMIS3S0
BER	ujno	vino	NCMS000
BER	passada	pasar	VMPS0SF
BER	cansada	cansar	VMPS0SF
BER	lazrada	lacerar	VMPS0SF
BER	ablentada	ablentar	VMPS0SF
BER	guisa	guisa	NCFS000
BER	frisa	frisar	VMIP3S0
BER	camjsa	camisa	NCFS000
BER	pisa	pisa	NCFS000
BER	maria	María	NP000P0
BER	alegria	alegría	NCFS000
BER	dia	día	NCMS000
BER	confradria	cofradía	NCFS000
BER	sonnosa	UNK	NCFS000
BER	gloriosa	glorioso	AQ0FS0
BER	esposa	esposo	NCFS000
BER	cosa	cosa	NCFS000
BER	humjldat	humildad	NCFS000
BER	piadat	piedad	NCFS000
BER	maiestat	majestad	NCFS000
BER	uolumtat	voluntad	NCFS000
BER	acabado	acabar	VMPS0SM
BER	encontrado	encontrar	VMPS0SM
BER	doblado	doblar	VMPS0SM
BER	uenturado	venturar	VMPS0SM
BER	sennora	señor	NCFS000
BER	aurora	aurora	NCFS000
BER	hora	hora	NCFS000
BER	serora	UNK	NCFS000
BER	alegria	alegría	NCFS000
BER	maria	María	NP000P0
BER	mja	mío	PX1FS0S0
BER	dia	día	NCMS000
BER	quieres	querer	VMIP2S0
BER	mugieres	mujer	NCFP000
BER	estoujeres	estar	VSSI2S0
BER	murieres	morir	VMSF2S0
BER	calidat	calidad	NCFS000
BER	edat	edad	NCFS000
BER	bondat	bondad	NCFS000
BER	igualdat	igualdad	NCFS000
BER	lechiga	UNK	NCFS000
BER	mendiga	mendigar	VMIP3S0
BER	amjga	amigo	NCFS000
BER	benediga	UNK	NCFS000
BER	dura	duro	AQ0FS0
BER	mollura	mollura	NCFS000
BER	segura	seguro	AQ0FS0
BER	rencura	rencura	NCFS000
BER	derecho	derecho	NCMS000
BER	lecho	lecho	NCMS000
BER	fecho	fecho	NCMS000
BER	despecho	despechar	VMIS3S0
BER	aguijosas	UNK	AQ0FP0
BER	ujçiosas	vicioso	AQ0FP0
BER	porfidiosas	UNK	AQ0FP0
BER	preçiosas	precioso	AQ0FP0
