Códice	token	lema	pos
BER	cosa	cosa	NCFS000
BER	gloriosa	glorioso	AQ0FS0
BER	posa	posa	NCFS000
BER	prosa	prosa	NCFS000
BER	paladino	paladino	AQ0MS0
BER	uezino	vecino	NCMS000
BER	latino	latino	NCMS000
BER	vino	venir	VMIS3S0
BER	primera	primero	AO0FS0
BER	carrera	carrera	NCFS000
BER	uerdadera	verdadero	AQ0FS0
BER	frontera	frontera	NCFS000
BER	primero	primero	AO0MS0
BER	obrero	obrero	NCMS000
BER	espero	esperar	VMIP1S0
BER	larguero	larguero	NCMS000
BER	escriptura	escritura	NCFS000
BER	natura	natura	NCFS000
BER	derechura	derechura	NCFS000
BER	presura	presura	NCFS000
BER	amigos	amigo	NCMP000
BER	antigos	antiguo	AQ0MP0
BER	enemjgos	enemigo	NCMP000
BER	castigos	castigo	NCMP000
BER	onrrado	honrado	AQ0MS0
BER	sennalado	señalado	AQ0MS0
BER	acabado	acabar	VMPS0SM
BER	monedado	monedado	AQ0MS0
BER	sabria	saber	VMIC3S0
BER	adeujnaria	UNK	VMIC3S0
BER	maria	María	NP000P0
BER	uia	vía	NCFS000
BER	sarmjento	sarmiento	NCMS000
BER	ujento	viento	NCMS000
BER	taliento	talento	NCMS000
BER	taliento	talento	NCMS000
BER	uoluntat	voluntad	NCFS000
BER	humjldat	humildad	NCFS000
BER	sinpliçidat	simplicidad	NCFS000
BER	uezindat	vecindad	NCFS000
BER	cuydado	cuidado	NCMP000
BER	grado	grado	NCMS000
BER	mesurado	mesurado	AQ0MS0
BER	amado	amar	VMPS0SM
BER	apremjdos	apremiar	VMPS0PM
BER	nodridos	nutrido	AQ0MP0
BER	cosidos	coser	VMPS0PM
BER	corronpidos	corromper	VMPS0PM
BER	parientes	pariente	NCCP000
BER	dientes	diente	NCMP000
BER	conosçientes	conociente	NCMP000
BER	conuenjentes	conveniente	AQ0CP0
BER	verdat	verdad	NCFS000
BER	magestat	majestad	NCFS000
BER	benjgnjdat	benignidad	NCFS000
BER	raçionjdat	UNK	NCFS000
BER	criado	criar	VMPS0SM
BER	allinnado	aliñar	VMPS0SM
BER	sennado	senado	AQ0MS0
BER	amado	amar	VMPS0SM
BER	tener	tener	VMN0000
BER	perder	perder	VMN0000
BER	comer	comer	VMN0000
BER	beuer	beber	VMN0000
BER	uegadas	vegada	NCFP000
BER	posadas	posada	NCFP000
BER	costunbradas	acostumbrar	VMPS0PF
BER	pesadas	pesar	VMPS0PF
BER	criatura	criatura	NCFS000
BER	mesura	mesura	NCFS000
BER	ardura	ardura	NCFS000
BER	cura	cura	NCFS000
BER	mandar	mandar	VMN0000
BER	guardar	guardar	VMN0000
BER	peccar	pecar	VMN0000
BER	guiar	guiar	VMN0000
BER	pastor	pastor	NCMS000
BER	mayor	mayor	AQ0CS0
BER	lauor	labor	NCFS000
BER	sauor	sabor	NCMS000
BER	danno	daño	NCMS000
BER	sossanno	sosaño	NCMS000
BER	enganno	engañar	VMIS3S0
BER	anno	año	NCMS000
BER	ençierto	UNK	AQ0MS0
BER	aujerto	abrir	VMPS0SM
BER	espierto	despierto	AQ0MS0
BER	cubierto	cubierto	NCMS000
BER	aposada	posar	VMPS0SF
BER	uellada	vellado	AQ0FS0
BER	entrada	entrada	NCFS000
BER	fincada	fincar	VMPS0SF
BER	sazon	sazón	NCFS000
BER	fondon	fondón	RG
BER	lesion	lesión	NCFS000
BER	ladron	ladrón	NCMS000
BER	daua	dar	VMII1S0
BER	mjnjstraua	UNK	VMII3S0
BER	meJoraua	mejorar	VMII3S0
BER	tomaua	tomar	VMII3S0
