Códice	token	lema	pos
ALX	prender	prender	VMN0000
ALX	meester	mester	NCMS000
ALX	seer	ser	VSN0000
ALX	caer	caer	VMN0000
ALX	ioglarja	UNK	VMIC3S0
ALX	clerezia	clerecía	NCFS000
ALX	uia	vía	NCFS000
ALX	maestria	maestría	NCFS000
ALX	creer	creer	VMN0000
ALX	plazer	placer	NCMS000
ALX	retraer	retraer	VMN0000
ALX	connosçer	conocer	VMN0000
ALX	fazer	hacer	VMN0000
ALX	coger	coger	VMN0000
ALX	seer	ser	NCMS000
ALX	ualer	valer	VMN0000
ALX	pagano	pagano	NCMS000
ALX	loçano	lozano	AQ0MS0
ALX	mano	mano	NCFS000
ALX	escriuano	escribano	NCMS000
ALX	greçia	Grecia	NP000G0
ALX	sabençia	sabencia	NCFS000
ALX	potençia	potencia	NCFS000
ALX	sufrençia	UNK	NCFS000
ALX	njnez	niñez	NCFS000
ALX	prez	prez	NCCS000
ALX	rrafez	UNK	NCCS000
ALX	gentilez	UNK	NCCS000
ALX	nasçio	nacer	VMIS3S0
ALX	escureçio	oscurecer	VMIS3S0
ALX	tremeçio	tremecer	VMIS3S0
ALX	pereçio	perecer	VMIS3S0
ALX	generales	general	AQ0CP0
ALX	punnales	puñal	NCMP000
ALX	tales	tal	PD0CP000
ALX	cabdales	caudal	AQ0CP0
ALX	entredado	UNK	VMP00SM
ALX	nado	nadar	VMIP1S0
ALX	yrado	airar	VMPS0SM
ALX	demostrado	demostrar	VMPS0SM
ALX	naçemiento	UNK	NCMS000
ALX	çiento	ciento	NCMS000
ALX	taliento	talento	NCMS000
ALX	miento	mentar	VMIP1S0
ALX	entendiendo	entender	VMG0000
ALX	decogiendo	UNK	VMG0000
ALX	creçiendo	crecer	VMG0000
ALX	temiendo	temer	VMG0000
ALX	entredientes	UNK	NCMP000
ALX	yentes	gente	NCFP000
ALX	parientes	pariente	NCCP000
ALX	mientes	miente	NCFP000
ALX	coraçon	corazón	NCMS000
ALX	leon	León	NP000G0
ALX	criazon	criazón	NCFS000
ALX	razon	razón	NCFS000
ALX	criado	criar	VMPS0SM
ALX	acabado	acabar	VMPS0SM
ALX	regnado	reinado	NCMS000
ALX	esforçiado	esforzar	VMPS0SM
ALX	leer	leer	VMN0000
ALX	saber	saber	VMN0000
ALX	escoger	escoger	VMN0000
ALX	enponer	imponer	VMN0000
ALX	liçion	UNK	NCFS000
ALX	disputaçion	disputación	NCFS000
ALX	coraçon	corazón	NCMS000
ALX	sazon	sazón	NCFS000
ALX	oya	oír	VMII3S0
ALX	tenia	tener	VMII1S0
ALX	aprenderia	aprender	VMIC3S0
ALX	tenia	tener	VMII1S0
ALX	decoraua	decorar	VMII3S0
ALX	semeiaua	semejar	VMII3S0
ALX	andaua	andar	VMII1S0
ALX	peccaua	pecar	VMII3S0
ALX	encobrir	encubrir	VMN0000
ALX	sofrir	sufrir	VMN0000
ALX	morir	morir	VMN0000
ALX	beuir	vivir	NCMS000
ALX	mengauan	UNK	VMII3P0
ALX	assomauan	asomar	VMII3P0
ALX	andauan	andar	VMII3P0
ALX	passaran	pasar	VMSI3P0
ALX	saçon	sazón	NCFS000
ALX	babilon	Babilonia	NP000G0
ALX	enforçion	UNK	NCFS000
ALX	non	no	RN
ALX	osmando	UNK	VMIS3S0
ALX	demudando	demudar	VMG0000
ALX	tornando	tornar	VMG0000
ALX	callando	callar	VMG0000
ALX	follonia	follonía	NCFS000
ALX	malantia	UNK	NCFS000
ALX	dia	día	NCMS000
ALX	sobrançaria	UNK	VMIC3S0
ALX	deuedar	desvedar	VMN0000
ALX	mar	mar	NCCS000
ALX	lidiar	lidiar	VMN0000
ALX	besar	besar	VMN0000
ALX	ueer	ver	VMN0000
ALX	perder	perder	VMN0000
ALX	pareçer	parecer	VMN0000
ALX	obedeçer	obedecer	VMN0000
ALX	pensamiento	pensamiento	NCMS000
ALX	fanbriento	hambriento	NCMS000
ALX	sarmiento	sarmiento	NCMS000
ALX	taliento	talento	NCMS000
ALX	comparaçion	comparación	NCFS000
ALX	leon	León	NP000G0
ALX	uenaçion	UNK	NCFS000
ALX	coraçon	corazón	NCMS000
ALX	dedos	dedo	NCMP000
ALX	quedos	quedo	AQ0MP0
ALX	medos	medo	NCMP000
ALX	vinedos	viñedo	NCMP000
ALX	criado	criar	VMPS0SM
ALX	çarrado	cerrar	VMPS0SM
ALX	formado	formar	VMPS0SM
ALX	folgado	holgar	VMPS0SM
ALX	seer	ser	VSN0000
ALX	ueer	ver	NCMS000
ALX	connosçer	conocer	VMN0000
ALX	leer	leer	VMN0000
ALX	mudada	mudar	VMPS0SF
ALX	delgada	delgado	AQ0FS0
ALX	defloxada	deflojar	VMPS0SF
ALX	empuxada	empujar	VMPS0SF
ALX	color	color	NCMS000
ALX	sabor	sabor	NCMS000
ALX	peor	peor	AQ0CS0
ALX	pauor	pavor	NCMS000
ALX	demandar	demandar	VMN0000
ALX	pesar	pesar	VMN0000
ALX	lograr	lograr	VMN0000
ALX	çelar	celar	VMN0000
ALX	catar	catar	VMN0000
ALX	refertar	refertar	VMN0000
ALX	fablar	hablar	VMN0000
ALX	compeçar	comenzar	VMN0000
ALX	clerizia	clerecía	NCFS000
ALX	podria	poder	VMIC3S0
ALX	auia	haber	VMII1S0
ALX	meioria	mejoría	NCFS000
ALX	mester	mester	NCMS000
ALX	uençer	vencer	VMN0000
ALX	gradeçer	UNK	VMN0000
ALX	entender	entender	VMN0000
ALX	natura	natura	NCFS000
ALX	figura	figura	NCFS000
ALX	cura	cura	NCFS000
ALX	rancura	rancura	NCFS000
ALX	cantar	cantar	NCMS000
ALX	acordar	acordar	VMN0000
ALX	echar	echar	VMN0000
ALX	oluidar	olvidar	VMN0000
ALX	argumento	argumento	NCMS000
ALX	elemento	elemento	NCMS000
ALX	fundamento	fundamento	NCMS000
ALX	accento	acento	NCMS000
ALX	sapiençia	sapiencia	NCFS000
ALX	fallença	fallencia	NCFS000
ALX	repentença	UNK	VMIP3S0
ALX	greçia	Grecia	NP000G0
ALX	aontada	ahontar	VMPS0SF
ALX	onrrada	honrado	AQ0FS0
ALX	aguisada	aguisado	AQ0FS0
ALX	uegada	vegada	NCFS000
ALX	rrazon	razón	NCFS000
ALX	mession	misión	NCFS000
ALX	sermon	sermón	NCMS000
ALX	sazon	sazón	NCFS000
ALX	meior	mejor	AQ0CS0
ALX	doctor	doctor	NCMS000
ALX	amor	amor	NCMS000
ALX	criador	criador	NCMS000
ALX	capiella	capilla	NCFS000
ALX	siella	silla	NCFS000
ALX	maziella	UNK	NCFS000
ALX	maxiella	UNK	NCFS000
ALX	letrado	letrado	AQ0MS0
ALX	embiado	enviar	VMPS0SM
ALX	guisado	guisar	VMPS0SM
ALX	compeçado	comenzar	VMPS0SM
ALX	clerizia	clerecía	NCFS000
ALX	querria	querer	VMIC1S0
