Códice	token	lema	pos
APO	querria	querer	VMIC1S
APO	Maestria	maestría	NCFS000
APO	cortesia	cortesía	NCFS000
APO	natural	natural	AQ0CS0
APO	tenporal	temporal	NCMS000
APO	capdal	caudal	NCMS000
APO	leyal	leal	AQ0CS0
APO	començar	comenzar	VMN0000
APO	Mar	mar	NCCS000
APO	titolar	titular	VMN0000
APO	pesar	pesar	VMN0000
APO	era	ser	VSII1S0
APO	manera	manera	NCFS000
APO	conpanyera	compañero	NCFS000
APO	reprendedera	UNK	AQ0FS0
APO	pedir	pedir	VMN0000
APO	abenjr	avenir	VMN0000
APO	contir	contir	VMN0000
APO	deçir	decir	VMN0000
APO	seyer	ser	VSN0000
APO	reboluer	revolver	VMN0000
APO	entender	entender	VMN0000
APO	perder	perder	VMN0000
APO	venjr	venir	VMN0000
APO	conplir	cumplir	VMN0000
APO	consentir	consentir	VMN0000
APO	sofrir	sufrir	VMN0000
APO	enuergonçada	envergonzado	AQ0FS0
APO	nada	nada	PI0CS000
APO	criada	criar	VMPS0SF
APO	culpada	culpar	VMPS0SF
APO	prisiestes	prender	VMIS2P0
APO	pudiestes	poder	VMIS2P0
APO	ouiestes	haber	VMIS2P0
APO	pudiestes	poder	VMIS2P0
APO	deuedes	deber	VMIP2P0
APO	enfamedes	UNK	VMIP2P0
APO	calledes	UNK	VMSP2P0
APO	echedes	echar	VMSP2P0
APO	pecado	pecado	NCMS000
APO	clamado	clamar	VMPS0SM
APO	pesado	pesado	NCMS000
APO	enfogado	enfogar	VMPS0SM
APO	violada	violar	VMPS0SF
APO	ondrada	honrado	AQ0FS0
APO	desemparada	desamparar	VMPS0SF
APO	Aconseiada	aconsejar	VMPS0SF
APO	encarnado	encarnar	VMPS0SM
APO	pecado	pecado	NCMS000
APO	ayrado	airar	VMPS0SM
APO	pagado	pagar	VMPS0SM
APO	casamjento	casamiento	NCMS000
APO	taliento	talento	NCMS000
APO	ssosacamjento	UNK	NCMP000
APO	mascorjento	UNK	AQ0MS0
APO	reptado	retar	VMPS0SM
APO	çerrado	cerrar	VMPS0SM
APO	grado	grado	NCMS000
APO	descabeçado	descabezar	VMPS0SM
APO	cortadas	cortar	VMPS0PF
APO	colgadas	colgar	VMPS0PF
APO	sonadas	sonar	VMPS0PF
APO	costadas	costar	VMPS0PF
APO	Rayz	raíz	NCFS000
APO	seruiz	UNK	NCFS000
APO	ditz	UNK	VMIP3S0
APO	enperadrjz	emperatriz	NCFS000
APO	regnaua	reinar	VMII1S0
APO	andaua	andar	VMII1S0
APO	amaua	amar	VMII1S0
APO	cuydaua	cuidar	VMII1S0
APO	Reyal	real	NCMS000
APO	general	general	AQ0CS0
APO	capdal	caudal	NCMS000
APO	/	PUNCT	PUNCT
APO	/	PUNCT	PUNCT
APO	juuentut	juventud	NCFS000
APO	englut	engrudo	NCMS000
APO	salut	salud	NCFS000
APO	raçon	razón	NCFS000
APO	saçon	sazón	NCFS000
APO	proposicion	proposición	NCFS000
APO	soluçion	solución	NCFS000
APO	profundado	profundar	VMPS0SM
APO	dotrinado	adoctrinar	VMPS0SM
APO	pecado	pecado	NCMS000
APO	prouado	probar	VMPS0SM
APO	uenjdo	venir	VMPS0SM
APO	caydo	caer	VMPS0SM
APO	tenjdo	tener	VMPS0SM
APO	conplido	cumplir	VMPS0SM
APO	demanar	UNK	VMN0000
APO	pesar	pesar	NCMS000
APO	negar	negar	VMN0000
APO	termjnar	terminar	VMN0000
APO	çimal	UNK	NCMS000
APO	mortal	mortal	AQ0CS0
APO	carnal	carnal	AQ0CS0
APO	comjnal	UNK	AQ0CS0
APO	pagado	pagar	VMPS0SM
APO	fallado	fallar	VMPS0SM
APO	pecado	pecado	NCMS000
APO	porfaçado	profazar	VMPS0SM
APO	inyquitat	iniquidad	NCFS000
APO	falsedat	falsedad	NCFS000
APO	eredat	heredad	NCFS000
APO	/	PUNCT	PUNCT
APO	perder	perder	VMN0000
APO	asoluer	absolver	VMN0000
APO	annyader	UNK	VMN0000
APO	cayer	caer	VMN0000
APO	quedar	quedar	VMN0000
APO	finar	finar	VMN0000
APO	naueyar	navegar	VMN0000
