Códice	token	lema	pos
BAG	naçio	nacer	VMIS3S0
BAG	tanto	tanto	RG
BAG	canto	canto	NCMS000
BAG	manto	manto	NCMS000
BAG	mar	mar	NCCS000
BAG	alubrar	UNK	VMN0000
BAG	rrimar	rimar	VMN0000
BAG	tomar	tomar	VMN0000
BAG	/	PUNCT	PUNCT
BAG	açipreste	arcipreste	NCMS000
BAG	aqueste	este	DD0MS0
BAG	preste	prestar	VMIS1S0
BAG	solaz	solaz	NCMS000
BAG	paz	paz	NCFS000
BAG	jaz	yacer	VMIP3S0
BAG	faz	hacer	VMIP3S0
BAG	/	PUNCT	PUNCT
BAG	rrimado	rimar	VMP00SM
BAG	pecado	pecado	NCMS000
BAG	apostado	apostar	VMP00SM
BAG	deuaneo	devaneo	NCMS000
BAG	leyo	leer	VMIS3S0
BAG	correo	correo	NCMS000
BAG	/	PUNCT	PUNCT
BAG	caldera	caldera	NCFS000
BAG	/	PUNCT	PUNCT
BAG	cobertera	cobertera	NCFS000
BAG	canauera	cañavera	NCFS000
BAG	flor	flor	NCFS000
BAG	dotor	doctor	NCMS000
BAG	beuedor	bebedor	NCMS000
BAG	amor	amor	NCMS000
BAG	rrayz	raíz	NCFS000
BAG	rruyz	Ruiz	NP000P0
BAG	fiz	hacer	VMIS1S0
BAG	diz	decir	VMIP3S0
BAG	canpo	campo	NCMS000
BAG	uja	vía	NCFS000
BAG	consolaçion	consolación	NCFS000
BAG	alegria	alegría	NCFS000
BAG	mensajeria	mensajería	NCFS000
BAG	djno	digno	AQ0MS0
BAG	maria	LAT	LANG
BAG	rresçibiste	recibir	VMIS2S0
BAG	enbja	enviar	VMIP3S0
BAG	nasçio	nacer	VMIS3S0
BAG	mjxia	UNK	NCFS000
BAG	rreys	rey	NCMP000
BAG	yazia	yacer	VMII3S0
BAG	dar	dar	VMN0000
BAG	seyia	UNK	VMII3S0
BAG	madalena	Magdalena	NP000P0
BAG	veuja	vivir	VMII3S0
BAG	viste	ver	VMIS2S0
BAG	sobia	subir	VMII3S0
BAG	puesto	poner	VMP00SM
BAG	copañja	UNK	VMII3S0
BAG	canta	cantar	VMIP3S0
BAG	auja	haber	VMII1S0
BAG	xpisto	Cristo	NP000P0
BAG	fallja	fallía	NCFS000
BAG	melezina	medicinar	VMM02S0
BAG	ayna	aína	RG
BAG	serujr	servir	VMN0000
BAG	via	vía	NCFS000
BAG	maria	María	NP000P0
BAG	loor	loor	NCMS000
BAG	rresçibiste	recibir	VMIS2S0
BAG	oyste	oír	VMIS2S0
BAG	saluaçion	salvación	NCFS000
BAG	nasçido	nacer	VMP00SM
BAG	serujdo	servir	VMP00SM
BAG	saluador	salvador	NCMS000
BAG	luzero	lucero	NCMS000
BAG	gia	guía	NCCS000
BAG	dixo	decir	VMIS3S0
BAG	del	de·el	SPS00·DA0MS0
BAG	señor	señor	NCMS000
BAG	mayor	mayor	AQ0CS0
BAG	yr	ir	VMN0000
BAG	alubrar	UNK	VMN0000
BAG	lugar	lugar	NCMS000
BAG	santo	santo	AQ0MS0
BAG	enbjar	enviar	VMN0000
BAG	pujar	pujar	VMN0000
BAG	madre	madre	NCFS000
BAG	saluador	salvador	NCMS000
BAG	morador	morador	AQ0MS0
BAG	naçio	nacer	VMIS3S0
BAG	merescas	merecer	VMSP2S0
BAG	parescas	parecer	VMSP2S0
BAG	/	PUNCT	PUNCT
BAG	gaton	Gatón	NP000G0
BAG	caris	LAT	LANG
BAG	coraçon	corazón	NCMS000
BAG	rrazon	razón	NCFS000
BAG	pon	poner	VMM02S0
BAG	rreyr	reír	VMN0000
BAG	enxerir	injerir	VMN0000
BAG	comedjr	comedir	VMN0000
BAG	dezir	decir	VMN0000
BAG	sentençia	sentencia	NCFS000
BAG	greçia	Grecia	NP000G0
BAG	sabençia	UNK	NCFS000
BAG	siençia	UNK	NCFS000
BAG	aujan	haber	VMII3P0
BAG	tenjan	tener	VMII3P0
BAG	meresçien	merecer	VMII3P0
BAG	sabien	saber	VMII3P0
BAG	vsar	usar	VMN0000
BAG	desputar	disputar	VMN0000
BAG	leuar	llevar	VMN0000
BAG	escusar	excusar	VMN0000
BAG	grado	grado	NCMS000
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	letrado	letrado	NCMS000
BAG	entender	entender	VMN0000
BAG	fazer	hacer	VMN0000
BAG	entender	entender	VMN0000
BAG	saber	saber	NCMS000
BAG	çibdadano	ciudadano	NCMS000
