Códice	token	lema	pos
BER	deuemos	deber	VMIP1P0
BER	buscaremos	buscar	VMIF1P0
BER	saluaremos	salvar	VMIF1P0
BER	resçibremos	UNK	VMIF1P0
BER	esperar	esperar	VMN0000
BER	contar	contar	VMN0000
BER	demostrar	demostrar	VMN0000
BER	marcar	marcar	VMN0000
BER	mongia	monjía	NCFS000
BER	sabria	saber	VMIC3S0
BER	maria	María	NP000P0
BER	dia	día	NCMS000
BER	maria	María	NP000P0
BER	sacristania	sacristanía	NCFS000
BER	folia	folía	NCFS000
BER	dia	día	NCMS000
BER	ujcario	vicario	NCMS000
BER	contrario	contrario	NCMS000
BER	uersario	UNK	NCFS000
BER	fornjcario	fornicario	AQ0MS0
BER	peccador	pecador	AQ0MS0
BER	prior	prior	NCMS000
BER	dormjtor	dormidor	NCMS000
BER	lauor	labor	NCFS000
BER	entrada	entrada	NCFS000
BER	passada	pasada	NCFS000
BER	usada	usar	VMPS0SF
BER	uegada	vegada	NCFS000
BER	mongia	monjía	NCFS000
BER	dia	día	NCMS000
BER	folia	folía	NCFS000
BER	freyria	freiría	NCFS000
BER	tocar	tocar	VMN0000
BER	sonar	sonar	VMN0000
BER	logar	lugar	NCMS000
BER	despertar	despertar	VMN0000
BER	sopieron	saber	VMIS3P0
BER	podieron	poder	VMIS3P0
BER	andidieron	andar	VMIS3P0
BER	firieron	herir	VMIS3P0
BER	asmar	asmar	VMN0000
BER	Juzgar	juzgar	VMN0000
BER	pesar	pesar	NCMS000
BER	logar	lugar	NCMS000
BER	rio	río	NCMS000
BER	ujo	ver	VMIS3S0
BER	gentio	gentío	NCMS000
BER	uazio	vacío	AQ0MS0
BER	pella	pella	NCFS000
BER	ella	él	PP3FS000
BER	querella	querella	NCFS000
BER	della	de·el	SPS00·DA0FS0
BER	bozearla	vocear·lo	VMN0000·PC3FSA00
BER	falla	falla	NCFS000
BER	agalla	agalla	NCFS000
BER	batalla	batalla	NCFS000
BER	general	general	AQ0CS0
BER	mal	mal	NCMS000
BER	al	a·el	SPS00·DA0MS0
BER	cabdal	caudal	NCMS000
BER	colorada	colorar	VMPS0SF
BER	nada	nada	PI0CS000
BER	acomendada	encomendar	VMPS0SF
BER	desemparada	desamparar	VMPS0SF
BER	uozero	vocero	NCMS000
BER	puntero	puntero	AQ0MS0
BER	derechero	derechero	AQ0MS0
BER	plazentero	placentero	AQ0MS0
BER	fallado	fallar	VMPS0SM
BER	Juzgado	juzgar	VMPS0SM
BER	falsado	falsar	VMPS0SM
BER	des??ado	UNK	UNK
BER	nesçia	necio	AQ0FS0
BER	bestia	bestia	NCCS000
BER	liçençja	licenciar	VMM02S0
BER	penjtençia	penitencia	NCFS000
BER	parecencia	parecencia	NCFS000
BER	audiençia	audiencia	NCFS000
BER	sapiençia	sapiencia	NCFS000
BER	sentençia	sentencia	NCFS000
BER	sabidor	sabedor	AQ0MS0
BER	meior	mejor	AQ0CS0
BER	sennor	señor	NCMS000
BER	honor	honor	NCMS000
BER	desalmado	desalmado	AQ0MS0
BER	ubiado	uviar	VMPS0SM
BER	passado	pasar	VMPS0SM
BER	agujsado	aguisado	AQ0MS0
BER	conpanneros	compañero	NCMP000
BER	çerteros	certero	AQ0MP0
BER	obreros	obrero	NCMP000
BER	guerreros	guerrero	NCMP000
BER	ledanja	letanía	NCFS000
BER	maria	María	NP000P0
BER	podestadia	UNK	NCFS000
BER	dia	día	NCMS000
BER	voluntat	voluntad	NCFS000
BER	piadat	piedad	NCFS000
BER	benjgnjdat	benignidad	NCFS000
BER	xristiandat	cristiandad	NCFS000
BER	penjtençia	penitencia	NCFS000
BER	contenençia	continencia	NCFS000
BER	potençia	potencia	NCFS000
BER	potençia	potencia	NCFS000
BER	granados	granar	VMPS0PM
BER	aclamados	aclamar	VMPS0PM
BER	contados	contar	VMPS0PM
BER	testerido	testerido	AQ0MS0
BER	enbeujdo	embeber	VMPS0SM
BER	sentido	sentido	NCMS000
BER	conplido	cumplir	VMPS0SM
BER	acostunbrado	acostumbrar	VMPS0SM
BER	acordado	acordar	VMPS0SM
BER	mandado	mandado	NCMS000
BER	aclamado	aclamar	VMPS0SM
BER	ocasion	ocasión	NCFS000
BER	non	no	RN
BER	baron	barón	NCMS000
BER	perdon	perdón	NCMS000
BER	conpanneros	compañero	NCMP000
BER	çerteros	certero	AQ0MP0
BER	riberos	ribero	NCMP000
BER	dezineros	UNK	NCMP000
BER	enterramjento	enterramiento	NCMS000
BER	conujento	UNK	NCMS000
BER	entendimjento	entendimiento	NCMS000
BER	fallimjento	hallamiento	NCMS000
BER	auemos	haber	VMIP1P0
BER	offresçemos	ofrecer	VMIP1P0
BER	faremos	hacer	VMIF1P0
