Códice	token	lema	pos
PFG	cosa	cosa	NCFS000
PFG	preçiossa	precioso	AQ0FS0
PFG	espossa	esposo	NCFS000
PFG	prossa	prosa	NCFS000
PFG	mar	mar	NCCS000
PFG	contar	contar	VMN0000
PFG	demostrar	demostrar	VMN0000
PFG	mar	mar	NCCS000
PFG	perdieron	perder	VMIS3P0
PFG	visquieron	vivir	VMIS3P0
PFG	andodieron	andar	VMIS3P0
PFG	morieron	morir	VMIS3P0
PFG	amarguras	amargura	NCFP000
PFG	amarguras	amargura	NCFP000
PFG	anteçesores	antecesor	NCMP000
PFG	sabores	sabor	NCMP000
PFG	dolores	dolor	NCMP000
PFG	contando	contar	VMG0000
PFG	cobrando	cobrar	VMG0000
PFG	fernando	Fernando	NP000P0
PFG	antiguo	antiguo	AQ0MS0
PFG	rrodrigo	Rodrigo	NP000P0
PFG	enemjgo	enemigo	NCMS000
PFG	mendigo	mendigo	NCMS000
PFG	creençia	creencia	NCFS000
PFG	sentençia	sentencia	NCFS000
PFG	prredicados	predicar	VMPS0PM
PFG	demudados	demudar	VMPS0PM
PFG	olujdado	olvidar	VMPS0SM
PFG	conosçieron	conocer	VMIS3P0
PFG	rresçibieron	recibir	VMIS3P0
PFG	qujsyerom	UNK	NCMS000
PFG	sufryeron	sufrir	VMIS3P0
PFG	predicada	predicar	VMPS0SF
PFG	derramada	derramar	VMPS0SF
PFG	mesnada	mesnada	NCFS000
PFG	espada	espada	NCFS000
PFG	afyrmamjento	afirmamiento	NCMS000
PFG	ayuntamjento	ayuntamiento	NCMS000
PFG	talento	talento	NCMS000
PFG	mascaryento	UNK	NCMS000
PFG	profetyzaron	profetizar	VMIS3P0
PFG	predicaron	predicar	VMIS3P0
PFG	fallaron	fallar	VMIS3P0
PFG	descaveçaron	descabezar	VMIS3P0
PFG	potestades	potestad	NCFP000
PFG	abades	abad	NCMP000
PFG	crreades	crear	VMIP2P0
PFG	heredades	heredad	NCFP000
PFG	syguamos	UNK	VMSP1P0
PFG	començamos	comenzar	VMIS1P0
PFG	fallamos	fallar	VMIP1P0
PFG	llaman	llamar	VMIP3P0
PFG	oryente	oriente	NCMS000
PFG	falljmjente	UNK	RG
PFG	gente	gente	NCFS000
PFG	faljmjente	UNK	RG
PFG	xristianos	cristiano	NCMP000
PFG	paganos	pagano	NCMP000
PFG	loçanos	lozano	AQ0MP0
PFG	aventurados	aventurado	AQ0MP0
PFG	avastando	abastar	VMG0000
PFG	matando	matar	VMG0000
PFG	poder	poder	NCMS000
PFG	alexandrer	Alejandro	NP000P0
PFG	mar	mar	NCCS000
PFG	anparar	amparar	VMN0000
PFG	mandar	mandar	VMN0000
PFG	gujar	guiar	VMN0000
PFG	espyrados	espirar	VMPS0PM
PFG	fallados	fallar	VMPS0PM
PFG	pecados	pecado	NCMP000
PFG	engañados	engañar	VMPS0PM
PFG	entender	entender	VMN0000
PFG	creer	creer	VMN0000
PFG	veluntat	UNK	NCFS000
PFG	entender	entender	VMN0000
PFG	nada	nada	PI0CS000
PFG	sagrada	sagrado	AQ0FS0
PFG	llamada	llamar	VMPS0SF
PFG	lavada	lavar	VMPS0SF
PFG	vautysmo	bautismo	NCMS000
PFG	xristianjsmo	UNK	NCMS000
PFG	paganjsmo	paganismo	NCMS000
PFG	mjsmo	mismo	AQ0MS0
PFG	serujdo	servir	VMPS0SM
PFG	escojido	escogido	AQ0MS0
PFG	olvido	olvidar	VMIS3S0
PFG	pasaron	pasar	VMIS3P0
PFG	eredaron	heredar	VMIS3P0
PFG	quedaron	quedar	VMIS3P0
PFG	llamaron	llamar	VMIS3P0
PFG	guerreador	guerreador	AQ0MS0
PFG	pastor	pastor	NCMS000
PFG	confessor	confesor	NCMS000
PFG	señor	señor	NCMS000
PFG	señor	señor	NCMS000
PFG	valor	valor	NCMS000
PFG	cryador	criador	NCMS000
PFG	mejor	mejor	AQ0CS0
PFG	oydo	oír	VMPS0SM
PFG	escojydo	escogido	AQ0MS0
PFG	ascondido	esconder	VMPS0SM
PFG	conosçido	conocer	VMPS0SM
PFG	fallar	fallar	VMN0000
PFG	tomar	tomar	VMN0000
PFG	matar	matar	VMN0000
PFG	rreynar	reinar	VMN0000
PFG	sentido	sentido	NCMS000
PFG	mesura	mesura	NCFS000
PFG	ventura	ventura	NCFS000
PFG	rrencura	UNK	NCFS000
PFG	obispados	obispado	NCMP000
PFG	señalados	señalado	AQ0MP0
PFG	sojusgados	sojuzgar	VMPS0PM
PFG	estado	estado	NCMS000
PFG	pecado	pecado	NCMS000
PFG	aponçoñado	emponzoñar	VMPS0SM
PFG	eredado	heredar	VMPS0SM
PFG	llamado	llamar	VMPS0SM
PFG	rreynado	reinado	NCMS000
PFG	sacado	sacar	VMPS0SM
PFG	provado	probar	VMPS0SM
PFG	sazon	sazón	NCFS000
PFG	rregyom	UNK	NCMS000
PFG	varon	varón	NCMS000
PFG	coraçom	corazón	NCMS000
PFG	rrodrygo	Rodrigo	NP000P0
PFG	enemjgo	enemigo	NCMS000
PFG	abrygo	abrigo	NCMS000
PFG	amjgo	amigo	AQ0MS0
PFG	señor	señor	NCMS000
PFG	guerreador	guerreador	AQ0MS0
PFG	dolor	dolor	NCMS000
PFG	creençia	creencia	NCFS000
PFG	obediençia	obediencia	NCFS000
PFG	obediençia	obediencia	NCFS000
PFG	contienda	contienda	NCFS000
PFG	ordenadas	ordenado	AQ0FP0
PFG	avastadas	abastar	VMPS0PF
PFG	dadas	dar	VMPS0PF
PFG	eran	ser	VSII3P0
PFG	lazeryo	laceria	NCMS000
PFG	rrovadores	robador	AQ0MP0
PFG	señores	señor	NCMP000
PFG	menores	menor	AQ0CP0
PFG	estado	estado	NCMS000
PFG	diablo	diablo	NCMS000
PFG	aventurado	aventurado	AQ0MS0
PFG	tornado	tornar	VMPS0SM
PFG	nascer	nacer	VMN0000
PFG	fazer	hacer	VMN0000
PFG	poder	poder	NCMS000
PFG	perder	perder	VMN0000
PFG	oydo	oír	VMPS0SM
PFG	torçido	torcer	VMPS0SM
PFG	conteçido	acontecer	VMPS0SM
PFG	destruydo	destruir	VMPS0SM
PFG	volver	volver	VMN0000
PFG	poder	poder	NCMS000
PFG	confonder	confundir	VMN0000
PFG	defender	defender	VMN0000
PFG	yllan	Illán	NP000P0
PFG	vursavan	UNK	VMII3P0
PFG	pan	pan	NCMS000
PFG	can	can	NCMS000
PFG	mar	mar	NCCS000
PFG	ayuntar	ayuntar	VMN0000
PFG	quemar	quemar	VMN0000
PFG	manparar	amparar	VMN0000
PFG	mandado	mandado	NCMS000
PFG	fonsado	fonsado	NCMS000
PFG	asegurado	asegurar	VMPS0SM
PFG	rreynado	reinado	NCMS000
PFG	mar	mar	NCCS000
PFG	matar	matar	VMN0000
PFG	afogar	ahogar	VMN0000
PFG	pasado	pasar	VMPS0SM
PFG	onrrado	honrado	AQ0MS0
PFG	mandado	mandado	NCMS000
PFG	enbyado	enviar	VMPS0SM
PFG	rrodrygo	Rodrigo	NP000P0
PFG	consygo	conseguir	VMIP1S0
PFG	amjgo	amigo	NCMS000
PFG	trygo	trigo	NCMS000
PFG	tomar	tomar	VMN0000
PFG	rreynar	reinar	VMN0000
PFG	contrrallar	UNK	VMN0000
PFG	pelear	pelear	VMN0000
PFG	desatar	desatar	VMN0000
PFG	lavrar	labrar	VMN0000
PFG	senbrar	sembrar	VMN0000
PFG	arar	arar	VMN0000
PFG	peones	peón	NCMP000
PFG	oteros	otero	NCMP000
PFG	dineros	dinero	NCMP000
PFG	fronteros	frontero	NCMP000
PFG	vayan	ir	VMSP3P0
PFG	trayan	traer	VMII3P0
PFG	cayan	caer	VMII3P0
PFG	trayan	traer	VMII3P0
PFG	soldada	soldada	NCFS000
PFG	posadas	posada	NCFP000
PFG	aradas	arada	NCFP000
PFG	espadas	espada	NCFP000
PFG	rrazon	razón	NCFS000
PFG	son	ser	VSIP3P0
PFG	cartas	carta	NCFP000
PFG	ayuntada	ayuntar	VMPS0SF
PFG	provada	probar	VMPS0SF
PFG	preçiada	preciado	AQ0FS0
PFG	fallada	fallar	VMPS0SF
PFG	sazom	UNK	NCMS000
PFG	rrazom	UNK	NCMS000
PFG	perdom	UNK	NCMS000
PFG	fazer	hacer	VMN0000
PFG	agradeçer	agradecer	VMN0000
PFG	poder	poder	NCMS000
PFG	tener	tener	VMN0000
PFG	partyda	partida	NCFS000
PFG	descreyda	descreído	NCFS000
PFG	medida	medida	NCFS000
PFG	partyda	partida	NCFS000
PFG	fyrmadas	firmar	VMPS0PF
PFG	rrecabdadas	reaudar	VMPS0PF
PFG	aseguradas	asegurar	VMPS0PF
PFG	posadas	posada	NCFP000
PFG	seguranças	aseguranza	NCFP000
PFG	vivades	vivir	VMSP2P0
PFG	potestades	potestad	NCFP000
PFG	eredades	heredad	NCFP000
PFG	vrafoneras	brafonera	NCFP000
PFG	espalderas	espaldera	NCFP000
PFG	monteras	montera	NCFP000
PFG	fogueras	hoguera	NCFP000
PFG	guarneçiones	UNK	NCFP000
PFG	açadones	azadón	NCMP000
PFG	fachones	hachón	NCMP000
PFG	peones	peón	NCMP000
PFG	asas	asaz	AQ0CS0
PFG	rrapaz	rapaz	AQ0CS0
PFG	pas	paz	NCFS000
PFG	plas	UNK	NCFP000
PFG	conpljdo	cumplir	VMPS0SM
PFG	tenjdo	tener	VMPS0SM
PFG	sabido	saber	VMPS0SM
PFG	enemjgo	enemigo	NCMS000
PFG	mandado	mandado	NCMS000
PFG	fallado	fallar	VMPS0SM
PFG	justyçiado	ajusticiar	VMPS0SM
PFG	provado	probar	VMPS0SM
PFG	entendedes	entender	VMIP2P0
PFG	rredes	red	NCMP000
PFG	paredes	pared	NCFP000
PFG	podedes	podar	VMIP2P0
PFG	labradores	labrador	AQ0MP0
PFG	pecadores	pecador	AQ0MP0
PFG	d	d	NCFS000
PFG	consejadores	UNK	NCMP000
PFG	mandavan	mandar	VMII3P0
PFG	estavan	estar	VAII3P0
PFG	cuydaron	cuidar	VMIS3P0
PFG	rrenegada	renegado	NCFS000
PFG	nada	nada	PI0CS000
PFG	testornada	trastornar	VMPS0SF
PFG	quebrantada	quebrantar	VMPS0SF
PFG	conteçido	acontecer	VMPS0SM
PFG	apelljdo	apellido	NCMS000
PFG	conpljdo	cumplir	VMPS0SM
PFG	perdido	perder	VMPS0SM
PFG	aquexados	aquejar	VMPS0PM
PFG	amenazados	amenazar	VMPS0PM
PFG	osado	osar	VMPS0SM
PFG	juntados	juntar	VMPS0PM
PFG	juntados	juntar	VMPS0PM
PFG	desarmados	desarmar	VMPS0PM
PFG	pecados	pecado	NCMP000
PFG	profetizado	profetizar	VMPS0SM
PFG	llegados	llegar	VMPS0PM
PFG	carrera	carrera	NCFS000
PFG	govera	UNK	VMIF3S0
PFG	rryvera	ribera	NCFS000
PFG	avyvados	avivar	VMPS0PM
PFG	escalentados	calentar	VMPS0PM
PFG	arrancados	arrancado	AQ0MP0
PFG	cruzados	cruzado	NCMP000
PFG	çerrado	cerrar	VMPS0SM
PFG	forado	horadar	VMIS3S0
PFG	guardado	guardar	VMPS0SM
PFG	fyncado	fincar	VMPS0SM
PFG	lugar	lugar	NCMS000
PFG	mar	mar	NCCS000
PFG	pasar	pasar	VMN0000
PFG	fyncar	fincar	VMN0000
PFG	destruyda	destruir	VMPS0SF
PFG	descreyda	descreer	VMPS0SF
PFG	vida	vida	NCFS000
PFG	venjda	venir	VMPS0SF
PFG	establjas	UNK	NCFP000
PFG	folljas	UNK	NCFP000
PFG	sacristanjas	sacristanía	NCFP000
PFG	dias	día	NCMP000
PFG	rretraer	retraer	VMN0000
PFG	cozer	cocer	VMN0000
PFG	meter	meter	VMN0000
PFG	foyr	huir	VMN0000
PFG	sofryr	sufrir	VMN0000
PFG	dezjr	decir	VMN0000
PFG	cozer	cocer	VMN0000
PFG	comer	comer	VMN0000
PFG	perder	perder	VMN0000
PFG	asconder	esconder	VMN0000
PFG	otorgada	otorgar	VMPS0SF
PFG	espada	espada	NCFS000
PFG	tornada	tornar	VMPS0SF
PFG	vegada	vegada	NCFS000
PFG	asegurados	asegurar	VMPS0PM
PFG	arrencados	arrancar	VMPS0PM
PFG	tornados	tornar	VMPS0PM
PFG	pecados	pecado	NCMP000
PFG	descreydos	descreído	NCMP000
PFG	guarnjdos	guarnir	VMPS0PM
PFG	alarydos	alarido	NCMP000
PFG	movydos	mover	VMPS0PM
PFG	pasado	pasar	VMPS0SM
PFG	dexado	dejar	VMPS0SM
PFG	pecado	pecado	NCMS000
PFG	mandado	mandado	NCMS000
PFG	sepultura	sepultura	NCFS000
PFG	figura	figura	NCFS000
PFG	natura	natura	NCFS000
PFG	desaventura	desventura	NCFS000
PFG	arrancados	arrancado	AQ0MP0
PFG	cativados	cautivar	VMPS0PM
PFG	fados	hado	NCMP000
PFG	mandados	mandado	NCMP000
PFG	prendierom	UNK	NCMS000
PFG	podieron	poder	VMIS3P0
PFG	defendieron	defender	VMIS3P0
PFG	pereçieron	perecer	VMIS3P0
PFG	estrañas	extraño	AQ0FP0
PFG	montañas	montaña	NCFP000
PFG	conpañas	compaña	NCFP000
PFG	sentydos	sentido	NCMP000
PFG	fyjos	hijo	NCMP000
PFG	marydos	marido	NCMP000
PFG	enloqueçidos	enloquecido	AQ0MP0
PFG	alçados	alzar	VMPS0PM
PFG	menguados	menguar	VMPS0PM
PFG	soterrados	soterrar	VMPS0PM
PFG	lazerados	lacerado	NCMP000
PFG	segurados	asegurar	VMPS0PM
PFG	tornados	tornar	VMPS0PM
PFG	amados	amar	VMPS0PM
PFG	menguados	menguar	VMPS0PM
PFG	nasçimos	UNK	VMIP1P0
PFG	sopimos	saber	VMIS1P0
PFG	meresçimos	merecer	VMIS1P0
PFG	caymos	caer	VMIS1P0
PFG	parientes	pariente	NCCP000
PFG	gentes	gente	NCFP000
PFG	cavados	cavar	VMPS0PM
PFG	rrezjentes	reciente	AQ0CP0
PFG	falesçido	fallecer	VMPS0SM
PFG	perdido	perder	VMPS0SM
PFG	partydo	partir	VMPS0SM
PFG	confondido	confundir	VMPS0SM
PFG	pecado	pecado	NCMS000
PFG	estragado	estragar	VMPS0SM
PFG	ditado	dictar	VMPS0SM
PFG	allegado	allegar	VMPS0SM
PFG	vida	vida	NCFS000
PFG	falljda	fallar	VMPS0SF
PFG	medida	medida	NCFS000
PFG	descreyda	descreído	NCFS000
PFG	andantes	andante	AQ0CP0
PFG	enfuzjantes	UNK	AQ0CP0
PFG	vautyzantes	UNK	AQ0CP0
PFG	cobrantes	UNK	RG
PFG	dar	dar	VMN0000
PFG	casar	casar	VMN0000
PFG	vuscar	buscar	VMN0000
PFG	pesar	pesar	NCMS000
PFG	tenporada	temporada	NCFS000
PFG	lazerada	lacerar	VMPS0SF
PFG	sagrada	sagrado	AQ0FS0
PFG	yrada	airar	VMPS0SF
PFG	cataljna	Catalina	NP000P0
PFG	rreyna	reina	NCFS000
PFG	maryna	marina	NCFS000
PFG	medeçina	medicina	NCFS000
PFG	leom	UNK	NCMS000
PFG	varon	varón	NCMS000
PFG	vaujlom	UNK	NCMS000
PFG	presyom	UNK	NCMS000
PFG	varones	varón	NCMP000
PFG	leones	león	NCMP000
PFG	drragones	dragón	NCMP000
PFG	tentaçiones	tentación	NCFP000
PFG	ardientes	ardiente	AQ0CP0
PFG	descreyentes	descreyente	NCMP000
PFG	convenjentes	conveniente	AQ0CP0
PFG	serpyentes	serpiente	NCFP000
PFG	varones	varón	NCMP000
PFG	ladrrones	ladrón	NCMP000
PFG	ponçones	ponzoña	NCMP000
PFG	piñones	piñón	NCMP000
PFG	poder	poder	NCMS000
PFG	fazer	hacer	VMN0000
PFG	acorrer	acorrer	VMN0000
PFG	caer	caer	VMN0000
PFG	desçender	descender	VMN0000
PFG	prender	prender	VMN0000
PFG	entender	entender	NCMS000
PFG	perder	perder	VMN0000
PFG	errados	errar	VMPS0PM
PFG	aguardamos	aguardar	VMIP1P0
PFG	llamamos	llamar	VMIP1P0
PFG	esperamos	esperar	VMIP1P0
PFG	vyda	vida	NCFS000
PFG	rrogando	rogar	VMG0000
PFG	escaparon	escapar	VMIS3P0
PFG	rrecontando	recontar	VMG0000
PFG	llamando	llamar	VMG0000
PFG	vuscasen	buscar	VMSI3P0
PFG	catasen	catar	VMSI3P0
PFG	ayudasen	ayudar	VMSI3P0
PFG	anparasen	amparar	VMSI3P0
PFG	mandado	mandar	VMPS0SM
PFG	lazerado	lacerado	NCMS000
PFG	rreygnado	reinado	NCMS000
PFG	grrado	grado	NCMS000
PFG	mjdos	amidos	RG
PFG	guaridos	guarir	VMPS0PM
