Códice	token	lema	pos
BAS	Judeorum	LAT	LANG
BAS	suyo	suyo	PX3MS000
BAS	faraon	faraón	NCMS000
BAS	presion	prisión	NCFS000
BAS	digna	digno	AQ0FS0
BAS	mezquina	mezquino	NCFS000
BAS	santiago	Santiago	NP000G0
BAS	yago	yacer	VMIP1S0
BAS	conpaña	compañía	NCFS000
BAS	saña	saña	NCFS000
BAS	llena	llena	NCFS000
BAS	pena	pena	NCFS000
BAS	saqueste	sacar	VMIS2S0
BAS	açipreste	arcipreste	NCMS000
BAS	dezjdores	decidor	AQ0MP0
BAS	traydores	traidor	NCMP000
BAS	ysrael	Israel	NP000G0
BAS	del	de·el	SPS00·DA0MS0
BAS	saluaçion	salvación	NCFS000
BAS	bendiçion	bendición	NCFS000
BAS	Rencores	rencor	NCMP000
BAS	pecadores	pecador	NCMP000
BAS	meos	LAT	LANG
BAS	primo	primo	NCMS000
BAS	cosas	cosa	NCFP000
BAS	suyas	suyo	PX3FP000
BAS	al	a·el	SPS00·DA0MS0
BAS	fama	fama	NCFS000
BAS	vna	uno	DI0FS0
BAS	jntellectum	UNK	NCMS000
BAS	de	de	SPS00
BAS	luego	luego	RG
BAS	dicho	decir	VMP00SM
BAS	dize	decir	VMIP3S0
BAS	la	el	DA0FS0
BAS	desque	desque	CS
BAS	&	y	CC
BAS	esto	este	PD0NS000
BAS	desecha	desechar	VMIP3S0
BAS	dize	decir	VMIP3S0
BAS	segunda	segundo	AO0FS0
BAS	entendimjento	entendimiento	NCMS000
BAS	djos	dios	NCMS000
BAS	buenas	bueno	AQ0FP0
BAS	enel	en·el	SPS00·DA0MS0
BAS	moriuntur	LAT	LANG
BAS	opera	LAT	LANG
BAS	hac	LAT	LANG
BAS	dubda	duda	NCFS000
BAS	voluntad	voluntad	NCFS000
BAS	dios	dios	NCMS000
BAS	sus	su	DP3CP0
BAS	Comoquier	comoquiera	RG
BAS	vjene	venir	VMIP3S0
BAS	buena	bueno	AQ0FS0
BAS	que	que	PR0CN000
BAS	crimjne	LAT	LANG
BAS	semine	LAT	LANG
BAS	entendjmjento	entendimiento	NCMS000
BAS	penssamjento	pensamiento	NCMS000
BAS	los	el	DA0MP0
BAS	mulus	LAT	LANG
BAS	memoria	memoria	NCFS000
BAS	acordarse	UNK	VMIP3S0
BAS	que	que	PR0CN000
BAS	esto	este	PD0NS000
BAS	libros	libro	NCMP000
BAS	fueron	ser	VSIS3P0
BAS	rrazon	razón	NCFS000
BAS	las	el	DA0FP0
BAS	vmanjdad	humanidad	NCFS000
BAS	alma	alma	NCFS000
BAS	.	PUNCT	PUNCT
BAS	apropiada	apropiar	VMP00SF
BAS	dize	decir	VMIP3S0
BAS	daujd	David	NP000P0
BAS	de	de	SPS00
BAS	.	PUNCT	PUNCT
BAS	pecado	pecado	NCMS000
BAS	del	de·el	SPS00·DA0MS0
BAS	conpuse	componer	VMIS1S0
BAS	sotilezas	sutileza	NCFP000
BAS	leyendo	leer	VMG0000
BAS	descogera	descoger	VMIF3S0
BAS	poco	poco	RG
BAS	la	el	DA0FS0
BAS	descobrimjento	descubrimiento	NCMS000
BAS	engañar	engañar	VMN0000
BAS	es	ser	VSIP3S0
BAS	mesmos	mismo	PI0MP000
BAS	decreto	decreto	NCMS000
BAS	del	de·el	SPS00·DA0MS0
BAS	la	el	DA0FS0
BAS	cuerpos	cuerpo	NCMP000
BAS	quisieren	querer	VMSF3P0
BAS	mi	mi	DP1CSS
BAS	bien	bien	RG
BAS	amor	amor	NCMS000
BAS	dabo	LAT	LANG
BAS	tres	tres	NCMS000
BAS	entençion	intención	NCFS000
BAS	E	y	CC
BAS	palabras	palabra	NCFP000
BAS	pecar	pecar	VMN0000
BAS	buena	bueno	AQ0FS0
BAS	saluaçion	salvación	NCFS000
BAS	maestrias	maestría	NCFP000
BAS	menos	menos	RG
BAS	guardar	guardar	VMN0000
BAS	de	de	SPS00
BAS	ditados	dictado	NCMP000
BAS	toda	todo	DI0FS0
BAS	lo	lo	PC3CNA00
BAS	fundamento	fundamento	NCMS000
BAS	firme	firme	AQ0CS0
BAS	enel	en·el	SPS00·DA0MS0
BAS	E	y	CC
BAS	deus	LAT	LANG
BAS	/	PUNCT	PUNCT
BAS	libro	libro	NCMS000
BAS	santo	santo	AQ0MS0
BAS	tanto	tanto	RG
BAS	canto	canto	NCMS000
BAS	manto	manto	NCMS000
BAS	mar	mar	NCCS000
BAS	alunbrar	alumbrar	VMN0000
BAS	Rimar	rimar	VMN0000
BAS	tomar	tomar	VMN0000
BAS	djos	dios	NCMS000
BAS	crieste	criar	VMIS2S0
BAS	açipreste	arcipreste	NCMS000
BAS	aqueste	este	DD0MS0
BAS	preste	preste	NCMS000
BAS	solaz	solaz	NCMS000
BAS	paz	paz	NCFS000
BAS	yaz	yacer	VMIP3S0
BAS	faz	hacer	VMIP3S0
BAS	escuchado	escuchar	VMP00SM
BAS	rrimado	rimar	VMP00SM
BAS	pecado	pecado	NCMS000
BAS	apostado	apostar	VMP00SM
BAS	devaneo	devaneo	NCMS000
BAS	leo	leo	NCCN000
BAS	correo	correo	NCMS000
BAS	feo	feo	AQ0MS0
BAS	caldera	caldera	NCFS000
BAS	peñavera	UNK	VMIF3S0
BAS	cobertera	cobertera	NCFS000
BAS	cañavera	cañavera	NCFS000
BAS	flor	flor	NCFS000
BAS	dotor	doctor	NCMS000
BAS	beuedor	bebedor	NCMS000
BAS	amor	amor	NCMS000
BAS	Rayz	raíz	NCFS000
BAS	rroyz	Ruiz	NP000P0
BAS	fiz	hacer	VMIS1S0
BAS	gozos	gozo	NCMP000
BAS	marja	María	NP000P0
BAS	maria	María	NP000P0
BAS	via	vía	NCFS000
BAS	guja	guiar	VMIP3S0
BAS	bendiçion	bendición	NCFS000
BAS	alegria	alegría	NCFS000
BAS	deuoçion	devoción	NCFS000
BAS	lea	leer	VMSP1S0
BAS	mensajerya	mensajería	NCFS000
BAS	sea	ser	VSSP1S0
BAS	vjno	venir	VMIS3S0
BAS	maria	LAT	LANG
BAS	djujno	divino	AQ0MS0
BAS	oyste	oír	VMIS2S0
BAS	enbia	enviar	VMIP3S0
BAS	conçebiste	concebir	VMIS2S0
BAS	acaesçio	acaecer	VMIS3S0
BAS	nasçio	nacer	VMIS3S0
BAS	mexia	mesías	NCMS000
BAS	leyes	ley	NCFP000
BAS	yazia	yacer	VMII3S0
BAS	veys	ver	VMIP2P0
BAS	gaspar	Gaspar	NP000P0
BAS	dar	dar	VMN0000
BAS	seya	ser	VSM03S0
BAS	buena	bueno	AQ0FS0
BAS	veuja	vivir	VMII3S0
BAS	pena	pena	NCFS000
BAS	oviste	haber	VMIS2S0
BAS	subja	subir	VMII3S0
BAS	diste	dar	VMIS2S0
BAS	sesto	sexto	AO0MS0
