Códice	token	lema	pos
BAT	pagadas	pagar	VMP00PF
BAT	condenadas	condenar	VMP00PF
BAT	demandadas	demandar	VMP00PF
BAT	escusadas	escusado	AQ0FP0
BAT	juez	juez	NCCS000
BAT	prez	prez	NCCS000
BAT	vez	vez	NCFS000
BAT	nuez	nuez	NCFS000
BAT	plonuçiaçion	UNK	NCFS000
BAT	asolujçion	UNK	NCFS000
BAT	mençion	mención	NCFS000
BAT	lyçion	lección	NCFS000
BAT	rrazon	razón	NCFS000
BAT	acusaçion	acusación	NCFS000
BAT	conpusyçion	composición	NCFS000
BAT	confision	confesión	NCFS000
BAT	rresponsyon	UNK	NCFS000
BAT	comjsion	comisión	NCFS000
BAT	jurydiçion	UNK	NCFS000
BAT	desputaçion	disputación	NCFS000
BAT	fazes	hacer	VMIP2S0
BAT	yazes	yacer	VMIP2S0
BAT	plazes	placer	VMIP2S0
BAT	enlazes	enlazar	VMSP2S0
BAT	mjentes	mente	NCFP000
BAT	dolyentes	doliente	NCCP000
BAT	valientes	valiente	NCCP000
BAT	dientes	diente	NCMP000
BAT	golfines	UNK	VMIS3S0
BAT	afynas	afinar	VMIP2S0
BAT	baçines	bacín	NCMP000
BAT	matynes	maitines	NCMP000
BAT	leuantar	levantar	VMN0000
BAT	cantar	cantar	VMN0000
BAT	tentar	tentar	VMN0000
BAT	despertar	despertar	NCMS000
BAT	espaçias	espaciar	VMIP2S0
BAT	???	PUNCT	PUNCT
BAT	graçias	gracia	NCFP000
BAT	engraçias	UNK	VMIS3S0
BAT	pryma	prima	NCFS000
BAT	xaquima	UNK	NCFS000
BAT	çima	cima	NCFS000
BAT	esquina	esquina	NCFS000
BAT	callejas	UNK	NCMS000
BAT	bermejas	bermejo	AQ0FP0
BAT	consejas	aconsejar	VMIP2S0
BAT	rredruejas	UNK	RG
BAT	conpone	componer	VMIP3S0
BAT	trastorne	trastornar	VMIS1S0
BAT	derechas	derecha	NCFP000
BAT	ovejas	oveja	NCFP000
BAT	callejas	UNK	NCMS000
BAT	orejas	oreja	NCFP000
BAT	saborado	asaborar	VMP00SM
BAT	encomendado	encomendar	VMP00SM
BAT	desfegurado	desfigurar	VMP00SM
BAT	yrrado	airado	AQ0MS0
BAT	naçiera	nacer	VMSI3S0
BAT	toujera	tener	VMSI3S0
BAT	oyera	oír	VMSI3S0
BAT	venjera	venir	VMSI3S0
BAT	rromançe	romance	NCMS000
BAT	alcançe	alcanzar	VMSP3S0
BAT	/	PUNCT	PUNCT
BAT	trançe	tranzar	VMIS1S0
BAT	engañada	engañar	VMP00SF
BAT	vegada	vegada	NCFS000
BAT	menguada	menguar	VMP00SF
BAT	castigada	castigar	VMP00SF
BAT	tome	tomar	VMIS1S0
BAT	asome	asomar	VMIS1S0
BAT	comen	comer	VMIP3P0
BAT	concomen	concomer	VMIP3P0
BAT	falagera	UNK	AQ0FS0
BAT	dentera	dentera	NCFS000
BAT	nogera	noguera	NCFS000
BAT	çeuera	cibera	NCFS000
BAT	dizeres	UNK	NCMS000
BAT	rreyres	UNK	VMIS3S0
BAT	ayres	airar	VMSP2S0
BAT	mjres	mir	NCMP000
BAT	endryno	endrino	NCMS000
BAT	vino	venir	VMIS3S0
BAT	vezyno	vecino	AQ0MS0
BAT	obespino	UNK	NCMS000
BAT	manda	mandar	VMIP3S0
BAT	demanda	demanda	NCFS000
BAT	vianda	vianda	NCFS000
BAT	anda	andar	VMIP3S0
BAT	meder	UNK	NCMS000
BAT	prender	prender	VMN0000
BAT	defender	defender	VMN0000
BAT	perder	perder	VMN0000
