Códice	token	lema	pos
RIM	trinjdat	trinidad	NCFS000
RIM	vnjdat	unidad	NCFS000
RIM	majestad	majestad	NCFS000
RIM	diuinidat	divinidad	NCFS000
RIM	engendrado	engendrar	VMP00SM
RIM	criado	criar	VMP00SM
RIM	amado	amar	VMP00SM
RIM	ynflamado	inflamar	VMP00SM
RIM	escura	oscuro	AQ0FS0
RIM	escriptura	escritura	NCFS000
RIM	cura	cura	NCFS000
RIM	aventura	aventura	NCFS000
RIM	creer	creer	VMN0000
RIM	tener	tener	VMN0000
RIM	ser	ser	VSN0000
RIM	perder	perder	VMN0000
RIM	amor	amor	NCMS000
RIM	meresçedor	merecedor	AQ0MS0
RIM	mejor	mejor	AQ0CS0
RIM	pecador	pecador	AQ0MS0
RIM	primero	primero	AO0MS0
RIM	ligero	ligero	AQ0MS0
RIM	espero	esperar	VMIP1S0
RIM	verdadero	verdadero	AQ0MS0
RIM	mortal	mortal	AQ0CS0
RIM	mal	mal	AQ0CS0
RIM	qual	cual	PR0CS000
RIM	val	valer	VMIP3S0
RIM	escripto	escrito	NCMS000
RIM	crio	criar	VMIP1S0
RIM	Redimjo	redimir	VMIS3S0
RIM	fallesçio	fallecer	VMIS3S0
RIM	criador	criador	NCMS000
RIM	vigor	vigor	NCMS000
RIM	pecador	pecador	AQ0MS0
RIM	saluador	salvador	NCMS000
RIM	catar	catar	VMN0000
RIM	errar	errar	VMN0000
RIM	soportar	soportar	VMN0000
RIM	egualar	igualar	VMN0000
RIM	formado	formar	VMP00SM
RIM	ynclinado	inclinar	VMP00SM
RIM	/	PUNCT	PUNCT
RIM	/	PUNCT	PUNCT
RIM	señor	señor	NCMS000
RIM	error	error	NCMS000
RIM	mereçedor	merecedor	AQ0MS0
RIM	dolor	dolor	NCMS000
RIM	menester	menester	NCMS000
RIM	fazer	hacer	VMN0000
RIM	auer	haber	VMN0000
RIM	ser	ser	VSN0000
RIM	seruir	servir	VMN0000
RIM	yr	ir	VMN0000
RIM	fallir	fallir	VMN0000
RIM	sofrir	sufrir	VMN0000
RIM	formaste	formar	VMIS2S0
RIM	biuificaste	vivificar	VMIS2S0
RIM	conpraste	comprar	VMIS2S0
RIM	libraste	librar	VMIS2S0
RIM	desconosçido	desconocer	VMP00SM
RIM	aperçebido	apercibir	VMP00SM
RIM	gradeçido	agradecer	VMP00SM
RIM	pido	pedir	VMIP1S0
RIM	seruy	servir	VMM02S0
RIM	fallesçi	fallecer	VMIS1S0
RIM	despendi	despender	VMIS1S0
RIM	aty	a·ti	SPS00·PP2CSO00
RIM	pecado	pecado	NCMS000
RIM	errado	errar	VMP00SM
RIM	esforçado	esforzar	VMP00SM
RIM	otorgado	otorgar	VMP00SM
RIM	perdonar	perdonar	VMN0000
RIM	pesar	pesar	VMN0000
RIM	logar	lugar	NCMS000
RIM	loar	loar	VMN0000
RIM	dire	decir	VMIF1S0
RIM	oluidare	olvidar	VMSF1S0
RIM	fee	fe	NCFS000
RIM	quebrante	quebrantar	VMIS1S0
RIM	mandamientos	mandamiento	NCMP000
RIM	mandaste	mandar	VMIS2S0
RIM	vedaste	vedar	VMIS2S0
RIM	Reçelaste	recelar	VMIS2S0
RIM	ordenaste	ordenar	VMIS2S0
RIM	dia	día	NCMS000
RIM	mia	mío	PX1FS0S0
RIM	estrelleria	estrellería	NCFS000
RIM	follia	folía	NCFS000
RIM	criador	criador	NCMS000
RIM	señor	señor	NCMS000
RIM	seruidor	servidor	NCMS000
RIM	error	error	NCMS000
RIM	ijo	2	Z
RIM	jurar	jurar	VMN0000
RIM	loar	loar	VMN0000
RIM	adorar	adorar	VMN0000
RIM	acusar	acusar	VMN0000
RIM	señor	señor	NCMS000
RIM	pecador	pecador	AQ0MS0
RIM	color	color	NCMS000
RIM	error	error	NCMS000
RIM	sazon	sazón	NCFS000
RIM	tribulaçion	tribulación	NCFS000
RIM	ocasion	ocasión	NCFS000
RIM	son	ser	VSIP3P0
RIM	iiio	3	Z
RIM	onrrar	honrar	VMN0000
RIM	orar	orar	VMN0000
RIM	pasar	pasar	VMN0000
RIM	dar	dar	VMN0000
RIM	mandamjento	mandamiento	NCMS000
RIM	apartado	apartar	VMP00SM
RIM	otorgado	otorgar	VMP00SM
RIM	culpado	culpar	VMP00SM
RIM	començe	comenzar	VMIS1S0
RIM	trabaje	trabajar	VMIS1S0
RIM	caçe	cazar	VMIS1S0
RIM	enpache	empachar	VMIS1S0
RIM	deuoçion	devoción	NCFS000
RIM	predicaçion	predicación	NCFS000
RIM	coraçon	corazón	NCMS000
RIM	entinçion	intención	NCFS000
RIM	iiiio	4	Z
RIM	contiene	contener	VMIP3S0
RIM	mantiene	mantener	VMIP3S0
